169,labname,homebank_id,aclew_id,child_level_id,sharing_environment,lab_internal_subject_id,age_mo_round,age,age_exact,child_sex,language,lang_percent,corpus_narrow,corpus,std_mat_ed,mat_ed,fat_ed,std_length_of_recording,length_of_recording,household_size,premature,region,ses_details,,,
86,ROS,,1158,B-10,B-04,B-10 a2,21,20m;21d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary,210,210,9,N,"Quilmes, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
87,ROS,,4770,B-10,B-04,B-10 a3,27,27m;11d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary,226,226,9,N,"Quilmes, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
88,ROS,,7903,M-01,N,M-01 a1,18,17m;20d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,cd,teacher degree,secondary,265,265,4,N,"Lanús Oeste, Metropolitan Area of Buenos Aires, ARG",RESIDENTIAL AREA,,,
89,ROS,,140,M-01,N,M-01 a2,24,24m;02d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,cd,teacher degree,secondary,240,240,4,N,"Lanús Oeste, Metropolitan Area of Buenos Aires, ARG",RESIDENTIAL AREA,,,
90,ROS,,4050,M-01,N,M-01 a3,29,28m;22d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,cd,teacher degree,secondary,251,251,4,N,"Lanús Oeste, Metropolitan Area of Buenos Aires, ARG",RESIDENTIAL AREA,,,
91,ROS,,2534,M-02,N,M-02 a1,9,8m;25d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,ad,"university, PhD degree","university, PhD degree",125,125,6,N,"Remedios de Escalada, Metropolitan Area of Buenos Aires, ARG",RESIDENTIAL AREA,,,
92,ROS,,6709,M-02,N,M-02 a2,16,15m;24d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,ad,"university, PhD degree","university, PhD degree",242,242,6,N,"Remedios de Escalada, Metropolitan Area of Buenos Aires, ARG",RESIDENTIAL AREA,,,
93,ROS,,4508,M-02,N,M-02 a3,22,21m;22d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,ad,"university, PhD degree","university, PhD degree",242,242,6,N,"Remedios de Escalada, Metropolitan Area of Buenos Aires, ARG",RESIDENTIAL AREA,,,
94,ROS,,873,M-03,N,M-03 a1,8,7m;30d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,ad,"university, PhD degree","ersity, Bachelor degree",244,244,3,N,"CABA, ARG",RESIDENTIAL AREA,,,
95,ROS,,3051,M-03,N,M-03 a2,15,15m;11d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,ad,"university, PhD degree","ersity, Bachelor degree",237,237,3,N,"CABA, ARG",RESIDENTIAL AREA,,,
